cited,cites
W2136879569,W2124351063
W2136879569,W2101120467
W2159707944,W2161289668
W2159707944,W2123696077
W2159707944,W2107060225
W2159707944,W2129905273
W2159707944,W3147310958
W2614464134,W1867005924
W2593436234,W2043509228
W2593436234,W2169678694
W2593436234,W2009867031
W2593436234,W2177317049
W2593436234,W2153635508
W2031611770,W2111211467
W2017871657,W2092044679
W2024966118,W2106963750
W2024966118,W2054653365
W2560023338,W2097117768
W2560023338,W2194775991
W2560023338,W2155893237
W2560023338,W2340897893
W2560023338,W1903029394
W2560023338,W2163605009
W2560023338,W2179352600
W2560023338,W2412782625
W2560023338,W1861492603
W2789843538,W2168133698
W2789843538,W2169456326
W2789843538,W2170551349
W2789843538,W4247053599
W2789843538,W2784788330
W2789843538,W2021341670
W2928665623,W2767891136
W2928665623,W4250359879
W2928665623,W2345356016
W2928665623,W1979594866
W2928665623,W2611604995
W2928665623,W1989277387
W2089525884,W1998062017
W2089525884,W2015693422
W2089525884,W1970996323
W2089525884,W1963712116
W3036319615,W2406250479
W3036319615,W2119205648
W3036319615,W2086561953
W3036319615,W2037993016
W3036319615,W2111647009
W2104005232,W2160333540
W2104005232,W2126419817
W2104005232,W1999574084
W2104005232,W2141458291
W2104005232,W2140729960
W2104005232,W2259938310
W2794480084,W2135937351
W2794480084,W2102212449
W2794480084,W2951506174
W2794480084,W1984883254
W2794480084,W2069089843
W2794480084,W2190545194
W2794480084,W2236822143
W2794480084,W2146512944
W2794480084,W2471536144
W2794480084,W2332292689
W2794480084,W2345356016
W2794480084,W2068767807
W2794480084,W1875842236
W2150066425,W2031454541
W2150066425,W2153635508
W2964849163,W2171777347
W2964849163,W2096791516
W2964849163,W2018838463
W2964849163,W2116041602
W2964849163,W2102278945
W2964849163,W2129933858
W2964849163,W2170551349
W2964849163,W2124362779
W2964849163,W2149992227
W3005235420,W2917207851
W3005235420,W2963276645
W3005235420,W1900937478
W3005235420,W2111211467
W3005235420,W2952045272
W3005235420,W2951464304
W3005235420,W2614081736
W3005235420,W2949867654
W3005235420,W2133870991
W3005235420,W1983102293
W3005235420,W2111647009
W3005235420,W2031611770
W3005235420,W2141052558
W2045204781,W2124351063
W2950504429,W81685006
W2252795400,W4234856688
W2252795400,W1994870116
W1832693441,W2146502635
W1832693441,W2163605009
W1832693441,W2251939518
W1832693441,W2143612262
W1832693441,W2062118960
W2164278908,W2189465200
W2164278908,W2798909945
W2164278908,W1554944419
W2155628349,W2138122982
W2155628349,W2107772251
W2964309882,W2037227137
W2964309882,W2340897893
W2964309882,W2737258237
W2964309882,W2097117768
W2964309882,W1903029394
W2964309882,W2179352600
W2964309882,W1901129140
W2964309882,W2560023338
W2964309882,W2194775991
W2964309882,W2531409750
W2964309882,W2963125010
W2964309882,W2022508996
W2964309882,W1905829557
W2964309882,W2412782625
W2964309882,W2307770531
W2964309882,W2565639579
W2964309882,W2549139847
W2964309882,W2117539524
W2964309882,W2601564443
W2964309882,W1861492603
W2964309882,W2163605009
W2282821441,W1905882502
W2282821441,W2097117768
W2147880316,W2009570821
W2135625048,W2147875900
W2135625048,W2146292423
W2135625048,W2139937287
W2214074259,W2043398720
W2214074259,W2010457001
W2214074259,W2148977460
W2214074259,W2161289668
W2127396309,W1990074132
W2290883490,W2154943049
W2290883490,W1999284878
W2290883490,W2061438946
W2290883490,W2963103847
W2592929672,W2163922914
W2592929672,W2157331557
W2592929672,W2464708700
W2592929672,W2581082771
W2592929672,W2022508996
W2592929672,W2557738935
W2592929672,W2194775991
W2592929672,W1903029394
W2592929672,W2533800772
W2592929672,W2253429366
W2592929672,W2097117768
W2592929672,W2346062110
W2592929672,W1901129140
W2592929672,W2163605009
W2592929672,W2145094598
W2592929672,W1905882502
W2592929672,W2099471712
W2592929672,W2302255633
W2592929672,W2097998348
W2592929672,W2155893237
W2592929672,W1849277567
W2592929672,W2919115771
W2592929672,W2117539524
W2099085143,W2119180969
W2099085143,W2149992227
W2099085143,W2033151532
W2099085143,W2099085143
W2099085143,W2096791516
W2100305481,W2160333540
W2100305481,W2141458291
W2100305481,W2136482257
W2100305481,W2152239989
W2100305481,W2126419817
W2100305481,W2021341670
W2804822363,W2149525061
W2804822363,W4210702584
W2804822363,W2949223833
W2899283552,W1019830208
W2899283552,W2239232218
W2899283552,W2557283755
W2899283552,W2163605009
W2581082771,W2919115771
W2581082771,W2117539524
W2581082771,W2183341477
W2581082771,W2097117768
W2581082771,W2194775991
W2581082771,W2145339207
W2581082771,W2257979135
W2581082771,W2163605009
W2725897987,W1981213426
W2725897987,W2560167313
W2169205464,W2171811563
W2169205464,W2161374186
W2169205464,W2098923148
W2169205464,W2119605658
W2169205464,W2104675861
W2169205464,W2169205464
W2169205464,W2108696783
W2169205464,W1714980748
W2163922914,W2141125852
W2163922914,W2147768505
W2163922914,W2160815625
W2163922914,W2156387975
W2163922914,W2145094598
W2163922914,W1665214252
W2163922914,W2163605009
W2163922914,W1533861849
W2163922914,W2097998348
W2108921801,W2180229411
W2108921801,W2124026197
W2108921801,W2114622716
W2592811885,W2158485828
W2592811885,W2323326409
W2592811885,W2170551349
W2963420686,W2963125010
W2963420686,W1677182931
W2963420686,W2964137095
W2963420686,W2183341477
W2963420686,W2531409750
W2963420686,W2117539524
W2963420686,W2194775991
W2963420686,W2963446712
W2963420686,W2549139847
W2963420686,W1903029394
W2963420686,W2097117768
W2963420686,W639708223
W2963420686,W2302255633
W2963420686,W2163605009
W2963420686,W1861492603
W2963420686,W2307770531
W2963420686,W1665214252
W2963420686,W2884585870
W2963420686,W2097998348
W2110052313,W2108344016
W2110052313,W2069977802
W2110052313,W2125065061
W2963470893,W1930824406
W2963470893,W2302255633
W2963470893,W2214802144
