cited,cites
W2133465414,W2130410032
W2133465414,W2165463056
W2133465414,W2158217645
W2133465414,W2161062388
W2119605622,W2151103935
W2119605622,W2177274842
W2119605622,W2164598857
W2119605622,W1625255723
W2119605622,W2124404372
W2004548026,W2133579817
W2004548026,W4294216483
W2004548026,W2123060905
W2112181056,W2045197688
W3125688476,W2111558694
W3125688476,W2096684396
W2119667497,W2129131372
W2119667497,W2164452299
W2119667497,W4250955649
W2119667497,W2129638195
W2119667497,W2127271355
W2119667497,W2145096794
W2160969485,W2168909179
W2160969485,W2129795133
W2160969485,W2128114769
W2160969485,W1767772592
W2160969485,W2127230663
W2160969485,W2151464048
W2915783575,W2142794782
W2915783575,W1909100498
W2915783575,W2028979275
W2915783575,W2121690346
W2915783575,W2128225313
W2915783575,W2114883075
W2915783575,W2119007429
W2915783575,W2129031626
W1560371066,W2025781576
W1560371066,W2897971917
W1979368277,W2086945873
W2021520922,W2118233996
W2021520922,W2171268876
W2021520922,W2150981663
W2116341502,W2147880316
W1831050183,W273955616
W1831050183,W2123998733
W1979308046,W2141708961
W2109305774,W1979290264
W2146290595,W2098126593
W2010163891,W2092509345
W2112042732,W2110506823
W2112042732,W2098685541
W2112042732,W1721421031
W2112042732,W1996293917
W2112042732,W2170899200
W2112042732,W2166982098
W2112042732,W2168569455
W2112042732,W2100379340
W2025768430,W2153663612
W2025768430,W2136922672
W2025768430,W2100495367
W2148092884,W2107165713
W2148092884,W2112316706
W2127847431,W1988925586
W2127847431,W2103546861
W2127847431,W2146058063
W2127847431,W2168696662
W2127847431,W3217097258
W2132022337,W2011301426
W2132022337,W2148606196
W2118585731,W2153635508
W2118585731,W2097360283
W2118585731,W2109943925
W2033686454,W2112315008
W2033686454,W1678356000
W2033686454,W2139416101
W2033686454,W2149507322
W2124565737,W2067804762
W2124565737,W2049468624
W2124565737,W2146904764
W2135695572,W2084341220
W2135695572,W2112315008
W2135695572,W1678356000
W2135695572,W2070493638
W2135695572,W2024046085
W2135695572,W2161548576
W2135695572,W2009435671
W2170239483,W2130403046
W2070059498,W2165528549
W2159805452,W3123974754
W1977367431,W2131726714
W1977367431,W2122465391
W2067715889,W1928998639
W2108929776,W2125346198
W2132764286,W2764347725
W2132764286,W1631356911
W2046557060,W2118421222
W2155201844,W2102245393
W2155201844,W2130479394
W2109943925,W2118585731
W2109943925,W2153635508
W2163097950,W2258584306
W2156098321,W2165010366
W2156098321,W2599076725
W2108234281,W2128016314
W2108234281,W2124985265
W2108234281,W2112113834
W2103441770,W2124985265
W2103441770,W2112113834
W2103441770,W2139760555
W2103441770,W2136145671
W2103441770,W2108234281
W2103441770,W2055666215
W2103441770,W2132341951
W2108598243,W2151103935
W2108598243,W2038721957
W2114104545,W2160697532
W2114104545,W2121211805
W2114104545,W2081098333
W2005501262,W2165010366
W2134967712,W2109364787
W2134967712,W2152195021
W2134967712,W2105668062
W2059205366,W2131350133
W2120145199,W2014166972
W2120145199,W2102182691
W2108718991,W2155066423
W2108718991,W1988925586
W2108718991,W2156125289
W2108718991,W2170024099
W2108718991,W2155806125
W2108718991,W2091922579
W2108718991,W2149573313
W2108718991,W2131186249
W2142678478,W2055666215
W2142678478,W2151464048
W2142678478,W2146341019
W2142678478,W2136145671
W2031489346,W2161969291
W2031489346,W1565746575
W2031489346,W2162915993
W2031489346,W2151103935
W2031489346,W2104974755
W2031489346,W3097096317
W2031489346,W2131846894
W2031489346,W2038721957
W2031489346,W1625255723
W2133990480,W3120421331
W2133990480,W2153635508
W2133990480,W2118585731
W2150220236,W4238591974
W2154845780,W2128016314
W2154845780,W2102234847
W2154845780,W2061680337
W2154845780,W2083878136
W2154845780,W2110755408
W2168420558,W1544923801
W2168420558,W2114570899
W2168420558,W2138581811
W2168420558,W2108244474
W2168420558,W2099249565
W2168420558,W2105423509
W2168420558,W1577577364
W2145538332,W2131350133
W2145538332,W2032842297
W2154714625,W2109184569
W2154714625,W2130479394
W2154714625,W2144081223
W2154714625,W2074986801
W2020155291,W2024641550
W2020155291,W4255411484
W2096885696,W2174670974
W2096885696,W2103948957
W2096885696,W2073141004
W2096885696,W1951817746
W2096885696,W2142289369
W2096885696,W2018459257
W2096885696,W2274815048
W2096885696,W2084530896
W2115888213,W1963957860
W2115888213,W2159957100
W2097065948,W2124985265
W2097065948,W2112113834
W2097065948,W2121211805
W2097065948,W2154431984
W2097065948,W2155804510
W2097065948,W2160969485
W2097065948,W2136145671
W2100556411,W2115706991
W2167822639,W2131681506
W2167822639,W2070722739
W2167822639,W2171707538
W2167822639,W2120043163
W2167822639,W2117663940
W2167822639,W2132022337
W2167822639,W2159929956
W2167822639,W2156737316
W2167822639,W2153624566
W2167822639,W2148606196
W2167822639,W2089458547
W2167822639,W2151936673
W2167822639,W2164928285
W2158804744,W1994145712
W2158804744,W2124967403
W2158804744,W1966822396
W2127048411,W2124637492
W2127048411,W2148606196
W2127048411,W2070722739
W2127048411,W2164928285
W2127048411,W2095293504
W2127048411,W2171960770
W2127048411,W2018045523
W2127048411,W2015953751
W2127048411,W2121947440
W2127048411,W2171707538
W2127048411,W2089458547
W2127048411,W2047940964
W2127048411,W2151936673
W2127048411,W2153624566
W2127048411,W2128366083
W2127048411,W2023655578
W2127048411,W2103017472
W2127048411,W2038195874
W2127048411,W3140968660
W2127048411,W2132914434
W2127048411,W1607198972
W2127048411,W2165874743
W2127048411,W2120043163
W2127048411,W2009435671
W2127048411,W2131681506
W2157009395,W2145091349
W2157009395,W2105381419
W2125910575,W2159675211
W2120772351,W2132926880
W2120772351,W2102502076
W2120772351,W2141885858
W1983981789,W2133674686
W2024165284,W2013912476
W2168356304,W2152826865
W2168356304,W2161969291
W2168356304,W2151103935
W2168356304,W3097096317
W2168356304,W1576520375
W2119444539,W2158489424
W2119444539,W2217809488
W2119444539,W2108169091
W2119444539,W2157752701
W2119444539,W2098126593
W2129812935,W2164452299
W2129812935,W2129638195
W2129812935,W2117553576
W2129812935,W2078204800
W2129812935,W2163808566
W2129812935,W2123921160
W2074932610,W2073279551
W2074932610,W2171137184
W2074932610,W4212838134
W2074932610,W2113168655
W2074932610,W1995031937
W2074932610,W2038702827
W2074932610,W2115217290
W2074932610,W2104057213
W2074932610,W2068719957
W2118978333,W2132870739
W2118978333,W2148143831
W2118978333,W2158698691
W2118978333,W1976526581
W2118978333,W2104933073
W2011430131,W2151103935
W2011430131,W2151936673
W2011430131,W2121947440
W2011430131,W2165874743
W2011430131,W2140190241
W2011430131,W2095293504
W2011430131,W2897971917
W2011430131,W1663973292
W2011430131,W1880262756
W2037199116,W1597678601
W2037199116,W2080752012
W2077968790,W2939474406
W2140699752,W2032285541
W2140699752,W2141647475
W2140699752,W2169667133
W2111684210,W1587094587
W2111684210,W2034562813
W2111684210,W2009435671
W2150687058,W2022085321
W2150687058,W2119607070
W2072955302,W2152195021
W2070753604,W2150981663
W2070753604,W2118233996
W2070753604,W2147993766
W2070753604,W2015688756
W2065974896,W3022423927
W2065974896,W2599076725
W2065974896,W1550443206
W1980740976,W2164004777
W1980740976,W2143238378
W1980740976,W2098425296
W2169589032,W2103017472
W2169589032,W2171030481
W2169589032,W2159675211
W2138763184,W2143514530
W2138763184,W2147746661
W2059885388,W2003193361
W2059885388,W2140886907
W2059885388,W2044591029
W2119888547,W2127036970
W2119888547,W2107282968
W1976744965,W2152195021
W2114850508,W4210400672
W2114850508,W1996423252
W2114850508,W2047417387
W2114850508,W2141885858
W2114850508,W2161062388
W2119180969,W2012016911
W2119180969,W2173213060
W2119180969,W2058401000
W2119180969,W2103441770
W2119180969,W2112113834
W2119180969,W2139760555
W2119180969,W2108234281
W2119180969,W2128114769
W2119180969,W2061680337
W2119180969,W2122732537
