Node ID,Year 0 (Deviation Score), Year 0 (Is Anomaly),Year 1 (Deviation Score), Year 1 (Is Anomaly),Year 2 (Deviation Score), Year 2 (Is Anomaly),Year 3 (Deviation Score), Year 3 (Is Anomaly),Year 4 (Deviation Score), Year 4 (Is Anomaly),Mean Deviation Score,Anomaly Status Churn
1905,0.10557706149605413,0,0.10557703813537955,0,0.1105494523459735,0,0.1055770715077718,0,0.1055770565290004,0,0.10657153600283586,0
1906,0.09142308309674263,0,0.878903370971481,1,0.13109059057508907,0,0.09142311258862416,0,0.0914230733178556,0,0.2568526461099585,1
1907,0.03694318110744158,0,1.0807314786749582,1,0.13109082697580257,0,0.03694318359096845,0,0.03694317924479643,0,0.2645303699187935,1
1908,0.09901833829159538,0,0.12593147282799086,0,0.1259314937827488,0,0.09901840860644977,0,0.09901820231849949,0,0.10978358316545686,0
1909,0.0914233395208915,0,0.11279302781137328,0,0.9222020121912161,1,0.09142336808145046,0,0.09142331701392929,0,0.2618530129237721,1
1910,0.07381445510933797,0,0.07381416934852798,0,0.11940513093334933,0,0.0738145038485527,0,0.07381441770121455,0,0.0829325353881965,0
1911,0.1386934189746777,0,0.1386934189746777,0,0.1386934189746777,0,0.1386934189746777,0,0.1386934189746777,0,0.1386934189746777,0
1912,0.13906993716955185,0,0.13899295156200728,0,0.1389935539724926,0,0.139062717401733,0,0.1390618230216205,0,0.13903619662548106,0
1913,0.10043408508257319,0,0.22875671205110848,0,0.11130593724859257,0,0.10043185235311587,0,0.10043199469024937,0,0.12827211628512789,0
1914,0.08713069201136629,0,0.1386950653977692,0,0.13869507471099496,0,0.0938784439349547,0,0.0871306659343342,0,0.10910598839788388,0
1915,0.07872548171629508,0,0.8119735126383603,1,0.1310906383829812,0,0.07872552269448836,0,0.07872547240306933,0,0.23584812556703882,1
1916,0.10396969178691506,0,0.2247770025084416,0,0.13108968548476696,0,0.10396969178691506,0,0.10396969159288953,0,0.13355515263198564,0
1917,0.1288147598534124,0,0.1288147598534124,0,0.12509445877124867,0,0.12881475736988554,0,0.1288147598534124,0,0.1280706991402743,0
1918,0.13109072903171182,0,0.13109062751755118,0,0.13109062829365334,0,0.13109075604006648,0,0.13109072235723337,0,0.13109069264804324,0
1919,0.11699696793220937,0,0.13109057070687413,0,0.13109057381128272,0,0.11699698702432215,0,0.11699694666701059,0,0.12263440922833979,0
1920,0.11194729184110959,0,0.23652025808890662,0,0.12592529132962227,0,0.11194729184110959,0,0.11194729106500745,0,0.1396574848331511,0
1921,0.09142200835049152,0,0.09142200835049152,0,0.10195121850119904,0,0.09142200835049152,0,0.09142200835049152,0,0.09352785038063302,0
1922,0.08357205102220178,0,0.1310896632882456,0,0.1310896632882456,0,0.08840598197033007,0,0.07872438927491505,0,0.10257634976878763,0
1923,0.12501795457986495,0,0.1669878282894691,0,0.16022640963395438,0,0.12501795457986495,0,0.12501795457986495,0,0.14045362033260367,0
1924,0.11194729106500745,0,0.11194729106500745,0,0.11122269874128203,0,0.11194729184110959,0,0.11194729106500745,0,0.1118023727554828,0
1925,0.1032051289609323,0,0.1259271406258146,0,0.12592714667941132,0,0.10153416497632861,0,0.11156643523524205,0,0.11363200329554576,0
1926,0.03694316744804382,0,0.03694317924479643,0,0.0369431854536136,1,0.036943177382151283,0,0.03694315751393636,0,0.0369431734085083,1
1927,0.11858386763681968,0,0.11858361229921381,0,0.1539936806075275,0,0.11858392716385424,0,0.11858383341071506,0,0.12566578422362606,0
1928,0.05367834617694219,0,0.12592922523617744,0,0.12592924774313966,0,0.053678328171372414,0,0.05367836604515711,0,0.08257870267455777,0
1929,0.22008123683432737,0,0.13109863766779503,0,0.13109866747011742,0,0.21551321260631084,0,0.2200812976807356,1,0.18357461045185725,1
1930,0.09901391559590896,0,0.21246488283698758,0,1.9940970696819325,1,0.0990139973970751,0,0.09901387787734468,0,0.5007207486778498,1
1931,0.09902277169749141,0,0.0728917031083256,0,0.8054106145476302,1,0.09902310883626342,0,0.09902260933692257,0,0.23507416150532667,1
1932,0.08105489239096642,0,0.13109073772405586,0,0.13109074579551816,0,0.07290375822534163,0,0.08839407159636418,0,0.10090684114644925,0
1933,0.09975377237424254,0,0.09975354800311227,0,0.09911352780181915,0,0.09975382041496535,0,0.09975374051524948,0,0.09962568182187775,0
1934,0.1872834675014019,0,0.18003182765096426,0,0.1797236374889811,0,0.18683482334017754,0,0.18633796274662018,0,0.184042343745629,0
1935,0.07873340013126533,0,0.09918071671078603,0,0.9221820555006465,1,0.07873334021617968,0,0.07873321572939555,0,0.25151254565765463,1
1936,0.11987915510932605,0,0.13109112593034902,0,0.13109111522013941,0,0.1230469675307783,0,0.11756328120827675,0,0.1245343289997739,0
1937,0.26638419336328906,1,0.27041424810886383,0,0.2696149007727702,0,0.26614342878262204,0,0.264548282759885,1,0.26742101075748603,1
1938,0.1039698773723406,0,0.13108985126018524,0,0.1310898478453358,0,0.1039698794290113,0,0.10396987403510138,0,0.11481786598839486,0
1939,0.13109057645003,0,0.1310904724523425,0,0.13109046826139092,0,0.1310906014405191,0,0.13109056853378812,0,0.13109053742761412,0
1940,0.13108967756852508,0,0.13108967943117023,0,0.13108967943117023,0,0.13108967803418636,0,0.13108967756852508,0,0.1310896784067154,0
1941,0.09544518124312162,0,0.12878761906176805,0,0.12879723651955524,0,0.07780324248597026,0,0.0953603374461333,0,0.10523872335130968,0
1942,0.10496565509432305,0,0.4266107852260272,1,0.13196303431565562,0,0.10499663736360769,0,0.10495409747818485,0,0.17469804189555965,1
1943,0.05978588045885166,0,1.544678420216466,1,1.382129929959774,1,0.05978780115644137,0,0.05978521052747965,0,0.6212334484638025,1
1944,0.09915082098450512,0,0.13872743708391985,0,0.13872754542777935,0,0.10508269785592954,0,0.1101900973978142,0,0.11837571974998962,0
1945,0.08672180523475011,0,0.13392892014235258,0,0.13393458987896642,0,0.09165951935574412,0,0.08186790812760592,0,0.10562254854788382,0
1946,0.10642606291609506,0,0.1444344116995732,0,0.14446108508855104,0,0.10695629318555196,0,0.10626880661584437,0,0.12170933190112312,0
1947,0.11858184371764462,0,0.15096384395534793,0,0.1259253203558425,0,0.11858184371764462,0,0.11858184371764462,0,0.12652693909282484,0
1948,0.03694292406241099,0,0.048130123410373926,0,1.1854628431610763,1,0.03694292282064756,0,0.03694292406241099,0,0.26888434750338397,1
1949,0.05045480094850063,0,0.13108968563998738,0,0.13108968563998738,0,0.06681120116263628,0,0.05045480094850063,0,0.08598003486792247,0
1950,0.0914220263560613,0,0.13108968563998738,0,0.13108968563998738,0,0.10195123406204705,0,0.0914220263560613,0,0.10939493161082887,0
1951,0.049363563458124794,0,0.062289452801148094,0,0.9682944215989361,1,0.049363563458124794,0,0.049363563458124794,0,0.23573491295489174,1
1952,0.11123646586202085,0,0.11123646105018754,0,0.11123646105018754,0,0.11123646167106926,0,0.11123646089496712,0,0.11123646210568645,0
1953,0.06549829989671707,0,0.06549738782147567,0,0.06549745673934619,0,0.06549869850277901,0,0.06549814095099767,0,0.06549799678226312,0
1954,0.07470088638365269,0,0.048326913733035326,0,1.1256974001880735,1,0.07470089104026556,0,0.0747008773808678,0,0.279625393745179,1
1955,0.12881485545949545,0,0.1288148364110384,0,0.12881483904978572,0,0.12881485934000617,0,0.1288148551878597,0,0.12881484908963708,0
1956,0.04171368417640527,0,0.04171371397872766,0,0.04171372080842654,0,0.04171369597315788,0,0.04171365934113661,0,0.04171369485557079,0
1957,0.13534575483451286,0,0.12592743709683418,0,0.1259274392699202,0,0.07427855550001065,0,0.08841086504980922,0,0.10997801035021744,0
